tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,ta4j-74,org.ta4j.core.rules.TimeRangeRule,9,273,82566,6237,9,0,0,0,12,12,100.0,4,1,25.0,0,0,0.0,0,0.0,0,120,2
evosuite,threeten-extra-83,org.threeten.extra.Minutes,6,268,89237,5277,78,0,0,0,97,73,75.25773,56,41,73.21429,68,60,88.2353,60,88.2353,8,120,2
evosuite,collections-8,org.apache.commons.collections4.functors.ChainedTransformer,9,282,80521,4918,14,0,0,0,20,20,100.0,10,10,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,threeten-extra-92,org.threeten.extra.chrono.Symmetry454Date,8,277,102492,6440,136,0,0,0,149,149,100.0,80,80,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,ta4j-68,org.ta4j.core.indicators.aroon.AroonUpIndicator,6,261,80196,6245,10,0,0,0,19,15,78.94737,6,2,33.333336,3,0,0.0,0,0.0,3,120,2
evosuite,threeten-extra-92,org.threeten.extra.chrono.Symmetry454Date,6,283,101168,6252,131,0,0,0,149,149,100.0,80,80,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,ta4j-77,org.ta4j.core.criteria.helpers.VarianceCriterion,8,288,83997,7085,14,0,0,0,25,22,88.0,4,3,75.0,2,0,0.0,0,0.0,2,120,2
evosuite,threeten-extra-91,org.threeten.extra.chrono.DiscordianChronology,3,259,87382,2836,60,0,0,0,48,48,100.0,19,19,100.0,39,39,100.0,39,100.0,0,120,2
evosuite,spatial4j-44,org.locationtech.spatial4j.shape.impl.InfBufLine,9,276,94653,7348,42,0,3,0,49,49,100.0,42,39,92.85714,0,0,0.0,0,0.0,0,120,2
evosuite,threeten-extra-89,org.threeten.extra.chrono.Symmetry010Chronology,5,272,88149,2685,62,0,0,0,47,47,100.0,15,15,100.0,0,0,0.0,0,0.0,0,120,2
evosuite,jsoup-37,org.jsoup.internal.ConstrainableInputStream,2,282,120629,5912,25,0,0,0,49,45,91.83673,40,39,97.5,47,45,95.74468,45,95.74468,2,120,2
evosuite,collections-22,org.apache.commons.collections4.ArrayStack,3,287,241009,13,0,0,0,0,30,0,0.0,16,0,0.0,0,0,0.0,0,0.0,0,120,0
evosuite,collections-17,org.apache.commons.collections4.trie.analyzer.StringKeyAnalyzer,6,297,82657,1439,31,0,0,0,40,40,100.0,34,34,100.0,56,56,100.0,56,100.0,0,120,2
evosuite,collections-16,org.apache.commons.collections4.sequence.ReplacementsFinder,10,288,76987,3866,4,0,0,0,17,17,100.0,4,4,100.0,6,6,100.0,6,100.0,0,120,2
evosuite,collections-13,org.apache.commons.collections4.MapUtils,8,298,147850,11,4,1,0,0,306,0,0.0,188,0,0.0,118,0,0.0,0,0.0,118,120,2
evosuite,jsoup-31,org.jsoup.nodes.FormElement,10,279,93052,9264,26,0,0,0,45,22,48.88889,32,11,34.375,11,0,0.0,0,0.0,11,120,2
evosuite,collections-12,org.apache.commons.collections4.functors.CloneTransformer,4,267,76652,1126,2,0,0,0,5,2,40.0,2,0,0.0,4,1,25.0,1,25.0,3,120,2
evosuite,ta4j-71,org.ta4j.core.num.NaN,2,268,113311,12,64,1,0,0,38,0,0.0,4,0,0.0,38,0,0.0,0,0.0,38,120,2
evosuite,collections-5,org.apache.commons.collections4.functors.PrototypeFactory,4,270,77025,1305,5,0,0,0,13,11,84.61539,4,4,100.0,6,5,83.33333,5,83.33333,1,120,2
evosuite,ta4j-68,org.ta4j.core.indicators.aroon.AroonUpIndicator,2,258,80482,5925,10,0,0,0,19,12,63.15789,6,1,16.666668,8,0,0.0,0,0.0,8,120,2
evosuite,collections-11,org.apache.commons.collections4.bidimap.DualTreeBidiMap,5,293,83731,6345,10,0,0,0,60,19,31.666666,12,0,0.0,27,0,0.0,0,0.0,27,120,2
