,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
1573,FASTJSON-105,com.alibaba.fastjson.JSONReader,1,314,36249,23206,129,0,2,0,157,149,94.90446,63,52,82.53968,5,0,0.0,0,0.0,5,30,2
1574,GUAVA-153,com.google.common.collect.ReverseOrdering,9,296,36448,6739,1,0,0,0,21,4,19.047619,4,0,0.0,18,1,5.555556,1,5.555556,17,30,2
1575,FASTJSON-49,com.alibaba.fastjson.serializer.ArraySerializer,5,311,30690,14451,6,0,0,0,28,6,21.428572,14,1,7.1428576,14,1,7.1428576,1,7.1428576,13,30,2
1576,GUAVA-85,com.google.common.base.CaseFormat,2,305,33388,2090,37,0,5,0,30,30,100.0,12,12,100.0,15,15,100.0,15,100.0,0,30,2
1577,SEATA-9,io.seata.core.rpc.netty.RpcServerHandler,5,294,28598,7800,12,0,0,0,27,20,74.07407,8,1,12.5,6,3,50.0,3,50.0,3,30,2
1578,SEATA-15,io.seata.core.rpc.netty.RpcServer,9,292,33788,29958,1,0,0,0,102,1,0.9803922,44,0,0.0,42,0,0.0,0,0.0,42,30,2
1579,GUAVA-45,com.google.common.primitives.Shorts,1,291,29812,8724,114,0,0,0,103,102,99.02912,68,67,98.52941,133,133,100.0,133,100.0,0,30,2
1580,SEATA-14,io.seata.core.protocol.transaction.BranchRegisterRequest,10,291,29626,9127,47,0,0,0,95,94,98.94737,32,31,96.875,42,41,97.61904,41,97.61904,1,30,2
1581,SPOON-9,spoon.support.reflect.cu.position.SourcePositionImpl,1,322,30665,8762,83,0,7,0,78,77,98.71795,56,53,94.64286,93,92,98.92473,92,98.92473,1,30,2
1582,SPOON-165,spoon.reflect.visitor.AstParentConsistencyChecker,4,298,29387,11360,8,0,0,0,15,15,100.0,8,7,87.5,6,6,100.0,6,100.0,0,30,2
1583,GUAVA-275,com.google.common.math.PairedStatsAccumulator,7,296,28842,5188,60,0,2,0,60,60,100.0,38,38,100.0,75,75,100.0,75,100.0,0,30,2
1584,SPOON-163,spoon.pattern.internal.node.MapEntryNode,1,300,29890,10057,31,0,0,0,38,30,78.94737,20,12,60.000004,6,0,0.0,0,0.0,6,30,2
1585,FASTJSON-49,com.alibaba.fastjson.serializer.ArraySerializer,4,307,30596,14819,5,0,0,0,28,6,21.428572,14,1,7.1428576,13,0,0.0,0,0.0,13,30,2
1586,GUAVA-6,com.google.common.base.Throwables,2,296,31501,12,0,0,0,0,92,0,0.0,38,0,0.0,0,0,0.0,0,0.0,0,30,0
1587,FASTJSON-105,com.alibaba.fastjson.JSONReader,5,304,34448,22820,111,0,5,0,157,146,92.99363,63,49,77.77778,5,0,0.0,0,0.0,5,30,2
1588,SPOON-167,spoon.support.reflect.CtExtendedModifier,7,291,28724,1851,24,0,0,0,26,26,100.0,16,16,100.0,18,18,100.0,18,100.0,0,30,2
1589,FASTJSON-59,com.alibaba.fastjson.asm.Type,6,309,31199,1883,102,0,0,0,93,0,0.0,62,0,0.0,78,0,0.0,0,0.0,78,30,2
1590,FASTJSON-4,com.alibaba.fastjson.serializer.BooleanCodec,1,521,31877,16614,10,0,0,0,36,9,25.0,16,1,6.25,18,2,11.111112,2,11.111112,16,30,2
1591,FASTJSON-4,com.alibaba.fastjson.serializer.BooleanCodec,7,310,30992,16500,9,0,0,0,36,9,25.0,16,1,6.25,18,2,11.111112,2,11.111112,16,30,2
1592,SPOON-165,spoon.reflect.visitor.AstParentConsistencyChecker,1,289,29802,10611,11,0,0,0,15,15,100.0,8,7,87.5,0,0,0.0,0,0.0,0,30,2
1593,SEATA-14,io.seata.core.protocol.transaction.BranchRegisterRequest,2,312,29658,8989,50,0,7,0,95,95,100.0,32,32,100.0,42,42,100.0,42,100.0,0,30,2
1594,SEATA-21,io.seata.core.rpc.netty.RmRpcClient,1,291,29394,48477,3,0,0,0,211,4,1.8957347,88,2,2.2727273,75,2,2.6666667,2,2.6666667,73,30,2
1595,SPOON-159,spoon.reflect.visitor.ModelConsistencyChecker,9,314,29768,13144,22,0,0,0,26,26,100.0,22,21,95.454544,0,0,0.0,0,0.0,0,30,2
1596,SEATA-14,io.seata.core.protocol.transaction.BranchRegisterRequest,1,288,29645,9168,47,0,1,0,95,95,100.0,32,32,100.0,42,42,100.0,42,100.0,0,30,2
1597,FASTJSON-25,com.alibaba.fastjson.parser.deserializer.ResolveFieldDeserializer,9,316,32146,23475,16,0,0,0,43,37,86.04651,12,7,58.333332,8,4,50.0,4,50.0,4,30,2
1598,FASTJSON-93,com.alibaba.fastjson.asm.ByteVector,5,299,30810,1872,48,0,0,0,73,0,0.0,24,0,0.0,73,0,0.0,0,0.0,73,30,2
1599,GUAVA-260,com.google.common.collect.TreeRangeMap,9,320,29395,7355,14,0,0,0,86,41,47.674416,36,12,33.333336,23,0,0.0,0,0.0,23,30,2
