,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
1620,FASTJSON-50,com.alibaba.fastjson.parser.DefaultJSONParser,8,306,38053,27201,75,0,1,0,947,163,17.21225,570,54,9.473684,164,0,0.0,0,0.0,164,30,2
1621,FASTJSON-105,com.alibaba.fastjson.JSONReader,9,306,33007,23659,128,0,4,0,157,147,93.63058,63,51,80.952385,6,0,0.0,0,0.0,6,30,2
1622,GUAVA-6,com.google.common.base.Throwables,1,308,28520,11,0,0,0,0,92,0,0.0,38,0,0.0,0,0,0.0,0,0.0,0,30,0
1623,SEATA-29,io.seata.core.rpc.DefaultServerMessageListenerImpl,7,311,30552,7804,10,0,2,0,68,20,29.411766,24,4,16.666668,22,3,13.636364,3,13.636364,19,30,2
1624,GUAVA-45,com.google.common.primitives.Shorts,3,292,29705,8011,107,0,0,0,103,102,99.02912,68,67,98.52941,133,133,100.0,133,100.0,0,30,2
1625,SPOON-101,spoon.reflect.visitor.PrintingContext,4,302,29411,9655,40,0,0,0,34,34,100.0,24,24,100.0,34,34,100.0,34,100.0,0,30,2
1626,FASTJSON-15,com.alibaba.fastjson.util.IOUtils,8,310,33834,19268,137,0,2,0,391,292,74.680305,270,169,62.59259,164,108,65.85366,108,65.85366,56,30,2
1627,SEATA-14,io.seata.core.protocol.transaction.BranchRegisterRequest,9,302,29548,8411,42,0,0,0,95,94,98.94737,32,31,96.875,42,41,97.61904,41,97.61904,1,30,2
1628,SPOON-103,spoon.support.reflect.code.CtAssignmentImpl,1,310,33148,25,1,1,0,0,45,0,0.0,18,0,0.0,29,0,0.0,0,0.0,29,30,2
1629,SPOON-107,spoon.reflect.visitor.filter.CompositeFilter,4,294,34139,9384,26,0,2,0,26,23,88.46153,20,19,95.0,2,0,0.0,0,0.0,2,30,2
1630,FASTJSON-4,com.alibaba.fastjson.serializer.BooleanCodec,10,309,31080,16618,10,0,0,0,36,9,25.0,16,1,6.25,18,2,11.111112,2,11.111112,16,30,2
1631,GUAVA-45,com.google.common.primitives.Shorts,4,318,29657,7624,113,0,0,0,103,102,99.02912,68,67,98.52941,133,133,100.0,133,100.0,0,30,2
1632,GUAVA-249,com.google.common.io.FileBackedOutputStream,4,295,28920,6248,38,0,0,0,50,50,100.0,16,16,100.0,30,30,100.0,30,100.0,0,30,2
1633,FASTJSON-15,com.alibaba.fastjson.util.IOUtils,6,300,34298,21131,156,0,0,0,391,296,75.70332,270,174,64.44444,164,109,66.46342,109,66.46342,55,30,2
1634,SPOON-169,spoon.support.reflect.code.CtStatementListImpl,2,310,50743,215476,9,0,1,0,80,16,20.0,36,4,11.111112,40,0,0.0,0,0.0,40,30,2
1635,FASTJSON-93,com.alibaba.fastjson.asm.ByteVector,8,316,30650,1850,46,0,0,0,73,0,0.0,24,0,0.0,73,0,0.0,0,0.0,73,30,2
1636,SEATA-14,io.seata.core.protocol.transaction.BranchRegisterRequest,8,323,29844,8892,49,0,3,0,95,95,100.0,32,32,100.0,42,42,100.0,42,100.0,0,30,2
1637,SPOON-163,spoon.pattern.internal.node.MapEntryNode,5,310,31872,10845,35,0,0,0,38,29,76.31579,20,11,55.0,7,0,0.0,0,0.0,7,30,2
1638,SPOON-157,spoon.support.DefaultCoreFactory,5,292,31245,12930,161,0,0,0,429,174,40.55944,160,81,50.625004,167,6,3.5928144,6,3.5928144,161,30,2
1639,GUAVA-197,com.google.common.primitives.Booleans,1,365,29834,3229,78,0,0,0,75,74,98.66667,52,51,98.07692,92,92,100.0,92,100.0,0,30,2
1640,FASTJSON-31,com.alibaba.fastjson.serializer.ASMSerializerFactory,2,290,36907,18731,49,0,0,0,1364,122,8.944282,398,16,4.0201006,404,24,5.940594,24,5.940594,380,30,2
1641,SEATA-25,io.seata.core.rpc.netty.NettyPoolableFactory,7,294,29158,51080,32,0,0,0,60,27,45.0,36,17,47.22222,30,17,56.666668,17,56.666668,13,30,2
1642,FASTJSON-49,com.alibaba.fastjson.serializer.ArraySerializer,3,315,30594,15084,5,0,0,0,28,6,21.428572,14,1,7.1428576,14,1,7.1428576,1,7.1428576,13,30,2
1643,SPOON-19,spoon.reflect.visitor.filter.LineFilter,8,311,28998,8814,2,0,0,0,22,10,45.454548,16,5,31.25,16,6,37.5,6,37.5,10,30,2
1644,FASTJSON-32,com.alibaba.fastjson.support.hsf.HSFJSONUtils,4,304,31678,22933,12,0,0,0,70,25,35.714287,28,11,39.285713,30,11,36.666668,11,36.666668,19,30,2
1645,SEATA-6,io.seata.core.rpc.RpcContext,3,307,29336,9472,66,0,4,0,85,75,88.2353,32,27,84.375,30,29,96.666664,29,96.666664,1,30,2
1646,FASTJSON-26,com.alibaba.fastjson.parser.deserializer.MapDeserializer,8,304,32137,17014,13,0,0,0,198,18,9.090909,126,13,10.31746,138,16,11.594203,16,11.594203,122,30,2
1647,GUAVA-115,com.google.common.util.concurrent.SimpleTimeLimiter,10,326,32551,42435,21,0,0,0,110,38,34.545456,26,4,15.384616,41,11,26.82927,11,26.82927,30,30,2
1648,SEATA-29,io.seata.core.rpc.DefaultServerMessageListenerImpl,8,318,33606,8313,14,0,3,0,68,22,32.352943,24,5,20.833332,22,4,18.181818,4,18.181818,18,30,2
1649,FASTJSON-25,com.alibaba.fastjson.parser.deserializer.ResolveFieldDeserializer,8,299,32098,24941,22,0,0,0,43,37,86.04651,12,8,66.66667,4,0,0.0,0,0.0,4,30,2
1650,SPOON-159,spoon.reflect.visitor.ModelConsistencyChecker,2,339,29921,13783,24,0,1,0,26,26,100.0,22,22,100.0,0,0,0.0,0,0.0,0,30,2
1651,FASTJSON-9,com.alibaba.fastjson.parser.deserializer.JavaObjectDeserializer,1,306,30843,15574,4,0,0,0,19,6,31.578945,18,2,11.111112,15,9,60.000004,9,60.000004,6,30,2
1652,GUAVA-78,com.google.common.collect.Queues,4,316,32715,13,54,1,0,0,75,0,0.0,26,0,0.0,56,0,0.0,0,0.0,56,30,2
1653,FASTJSON-59,com.alibaba.fastjson.asm.Type,10,341,31045,1785,89,0,2,0,93,0,0.0,62,0,0.0,78,0,0.0,0,0.0,78,30,2
1654,SEATA-8,io.seata.core.protocol.MergedWarpMessage,3,310,29042,8898,22,0,1,0,46,29,63.04348,14,7,50.0,23,17,73.91304,17,73.91304,6,30,2
1655,SPOON-163,spoon.pattern.internal.node.MapEntryNode,4,301,31565,9288,32,0,0,0,38,30,78.94737,20,12,60.000004,6,0,0.0,0,0.0,6,30,2
1656,SEATA-6,io.seata.core.rpc.RpcContext,7,301,29273,9282,58,0,1,0,85,73,85.882355,32,28,87.5,30,29,96.666664,29,96.666664,1,30,2
1657,FASTJSON-104,com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter,1,320,32810,33084,63,0,3,0,82,74,90.2439,20,17,85.0,6,0,0.0,0,0.0,6,30,2
1658,FASTJSON-39,com.alibaba.fastjson.serializer.StringCodec,4,304,30944,17389,22,0,0,0,45,21,46.666668,20,9,45.0,29,14,48.27586,14,48.27586,15,30,2
1659,FASTJSON-49,com.alibaba.fastjson.serializer.ArraySerializer,7,317,30589,15193,6,0,0,0,28,6,21.428572,14,1,7.1428576,14,1,7.1428576,1,7.1428576,13,30,2
1660,SEATA-8,io.seata.core.protocol.MergedWarpMessage,4,294,29055,10276,26,0,2,0,46,44,95.652176,14,11,78.57143,23,23,100.0,23,100.0,0,30,2
1661,FASTJSON-85,com.alibaba.fastjson.serializer.CharArrayCodec,5,301,31237,16549,6,0,0,0,35,3,8.571429,20,0,0.0,20,1,5.0,1,5.0,19,30,2
1662,FASTJSON-93,com.alibaba.fastjson.asm.ByteVector,6,305,30740,1882,52,0,0,0,73,0,0.0,24,0,0.0,73,0,0.0,0,0.0,73,30,2
1663,FASTJSON-39,com.alibaba.fastjson.serializer.StringCodec,1,296,30897,17407,27,0,1,0,45,21,46.666668,20,9,45.0,29,14,48.27586,14,48.27586,15,30,2
1664,SEATA-29,io.seata.core.rpc.DefaultServerMessageListenerImpl,10,301,30760,8837,18,0,3,0,68,24,35.294117,24,5,20.833332,22,5,22.727274,5,22.727274,17,30,2
1665,FASTJSON-17,com.alibaba.fastjson.serializer.ClobSeriliazer,7,303,30343,15643,5,0,0,0,24,5,20.833332,4,2,50.0,6,2,33.333336,2,33.333336,4,30,2
1666,GUAVA-45,com.google.common.primitives.Shorts,5,301,29796,8454,114,0,0,0,103,102,99.02912,68,67,98.52941,133,133,100.0,133,100.0,0,30,2
1667,SEATA-25,io.seata.core.rpc.netty.NettyPoolableFactory,9,334,29318,51140,31,0,0,0,60,27,45.0,36,17,47.22222,30,17,56.666668,17,56.666668,13,30,2
1668,SPOON-11,spoon.reflect.factory.TypeFactory,5,293,35736,15158,78,0,10,0,217,165,76.036865,70,47,67.14285,24,0,0.0,0,0.0,24,30,2
1669,GUAVA-114,com.google.common.util.concurrent.AtomicDoubleArray,2,290,31303,11548,46,0,0,0,59,57,96.61017,14,12,85.71429,34,34,100.0,34,100.0,0,30,2
1670,SPOON-157,spoon.support.DefaultCoreFactory,9,300,31530,13630,151,0,0,0,429,173,40.32634,160,82,51.25,163,0,0.0,0,0.0,163,30,2
1671,SPOON-11,spoon.reflect.factory.TypeFactory,7,305,42010,21,96,1,0,0,217,0,0.0,70,0,0.0,121,0,0.0,0,0.0,121,30,2
1672,SPOON-103,spoon.support.reflect.code.CtAssignmentImpl,4,300,31142,21,2,1,0,0,45,0,0.0,18,0,0.0,29,0,0.0,0,0.0,29,30,2
1673,FASTJSON-32,com.alibaba.fastjson.support.hsf.HSFJSONUtils,10,316,31877,23578,17,0,0,0,70,23,32.857143,28,10,35.714287,30,10,33.333336,10,33.333336,20,30,2
1674,GUAVA-45,com.google.common.primitives.Shorts,8,325,30424,7658,116,0,0,0,103,102,99.02912,68,67,98.52941,133,133,100.0,133,100.0,0,30,2
1675,GUAVA-174,com.google.common.collect.TopKSelector,4,299,32681,7546,40,0,0,0,79,65,82.27848,36,25,69.44444,68,55,80.882355,55,80.882355,13,30,2
1676,SPOON-11,spoon.reflect.factory.TypeFactory,9,301,42834,26,86,1,0,0,217,0,0.0,70,0,0.0,121,0,0.0,0,0.0,121,30,2
1677,SEATA-12,io.seata.core.rpc.netty.ShutdownHook,4,295,28490,26677,8,0,1,0,25,25,100.0,8,6,75.0,7,7,100.0,7,100.0,0,30,2
1678,SPOON-159,spoon.reflect.visitor.ModelConsistencyChecker,6,302,29698,21,24,1,0,0,26,0,0.0,22,0,0.0,16,0,0.0,0,0.0,16,30,2
1679,SEATA-16,io.seata.core.store.StoreMode,10,303,28377,706,6,0,0,0,7,0,0.0,4,0,0.0,5,0,0.0,0,0.0,5,30,2
1680,GUAVA-21,com.google.common.base.internal.Finalizer,9,297,61007,11,0,0,0,0,65,0,0.0,20,0,0.0,0,0,0.0,0,0.0,0,30,0
1681,SPOON-155,spoon.support.compiler.jdt.JDTSnippetCompiler,1,322,30108,161881,29,0,3,0,25,25,100.0,8,7,87.5,15,15,100.0,15,100.0,0,30,2
1682,SEATA-9,io.seata.core.rpc.netty.RpcServerHandler,6,297,28708,7859,10,0,0,0,27,20,74.07407,8,1,12.5,6,3,50.0,3,50.0,3,30,2
1683,SEATA-25,io.seata.core.rpc.netty.NettyPoolableFactory,8,329,29114,51070,27,0,0,0,60,27,45.0,36,17,47.22222,30,17,56.666668,17,56.666668,13,30,2
1684,SEATA-32,io.seata.core.protocol.transaction.GlobalBeginResponse,4,301,29174,8733,29,0,1,0,36,36,100.0,12,12,100.0,17,17,100.0,17,100.0,0,30,2
1685,SEATA-19,io.seata.core.protocol.RegisterRMRequest,4,285,29368,8640,33,0,0,0,62,62,100.0,26,26,100.0,46,46,100.0,46,100.0,0,30,2
1686,SPOON-103,spoon.support.reflect.code.CtAssignmentImpl,6,288,41435,26,1,1,0,0,45,0,0.0,18,0,0.0,29,0,0.0,0,0.0,29,30,2
1687,SEATA-8,io.seata.core.protocol.MergedWarpMessage,1,299,29111,10498,25,0,3,0,46,44,95.652176,14,11,78.57143,23,23,100.0,23,100.0,0,30,2
1688,FASTJSON-64,com.alibaba.fastjson.serializer.JSONSerializer,8,299,33657,34596,136,0,1,0,185,154,83.24325,108,73,67.59259,18,0,0.0,0,0.0,18,30,2
1689,FASTJSON-39,com.alibaba.fastjson.serializer.StringCodec,10,301,31132,17500,25,0,0,0,45,21,46.666668,20,9,45.0,29,14,48.27586,14,48.27586,15,30,2
1690,SPOON-13,spoon.support.reflect.code.CtForImpl,2,302,61008,21,0,0,0,0,58,0,0.0,26,0,0.0,0,0,0.0,0,0.0,0,30,0
1691,GUAVA-249,com.google.common.io.FileBackedOutputStream,5,285,30667,6543,31,0,0,0,50,49,98.0,16,15,93.75,30,29,96.666664,29,96.666664,1,30,2
1692,FASTJSON-32,com.alibaba.fastjson.support.hsf.HSFJSONUtils,5,333,31688,22533,13,0,0,0,70,25,35.714287,28,11,39.285713,30,11,36.666668,11,36.666668,19,30,2
1693,SEATA-14,io.seata.core.protocol.transaction.BranchRegisterRequest,6,294,29459,9183,43,0,0,0,95,93,97.89474,32,30,93.75,42,40,95.2381,40,95.2381,2,30,2
1694,GUAVA-260,com.google.common.collect.TreeRangeMap,8,308,37987,7617,15,0,1,0,86,42,48.837208,36,13,36.11111,22,0,0.0,0,0.0,22,30,2
1695,GUAVA-260,com.google.common.collect.TreeRangeMap,3,296,36085,6941,7,0,0,0,86,29,33.720932,36,7,19.444445,47,16,34.042553,16,34.042553,31,30,2
1696,SPOON-167,spoon.support.reflect.CtExtendedModifier,9,300,28722,1874,23,0,0,0,26,26,100.0,16,16,100.0,18,18,100.0,18,100.0,0,30,2
1697,SEATA-8,io.seata.core.protocol.MergedWarpMessage,9,312,29253,9036,26,0,4,0,46,46,100.0,14,12,85.71429,23,23,100.0,23,100.0,0,30,2
1698,SEATA-8,io.seata.core.protocol.MergedWarpMessage,10,291,29120,8689,20,0,1,0,46,29,63.04348,14,7,50.0,23,17,73.91304,17,73.91304,6,30,2
1699,SEATA-8,io.seata.core.protocol.MergedWarpMessage,7,292,29187,8809,21,0,1,0,46,29,63.04348,14,7,50.0,23,17,73.91304,17,73.91304,6,30,2
1700,GUAVA-6,com.google.common.base.Throwables,10,325,28802,6487,62,0,0,0,92,77,83.69565,38,32,84.210526,41,37,90.2439,37,90.2439,4,30,2
1701,SPOON-165,spoon.reflect.visitor.AstParentConsistencyChecker,6,314,29425,10874,9,0,0,0,15,15,100.0,8,7,87.5,6,6,100.0,6,100.0,0,30,2
1702,SPOON-107,spoon.reflect.visitor.filter.CompositeFilter,9,295,39916,22,24,1,0,0,26,0,0.0,20,0,0.0,26,0,0.0,0,0.0,26,30,2
1703,GUAVA-249,com.google.common.io.FileBackedOutputStream,1,304,30372,6253,31,0,0,0,50,49,98.0,16,15,93.75,30,29,96.666664,29,96.666664,1,30,2
1704,GUAVA-114,com.google.common.util.concurrent.AtomicDoubleArray,9,297,30968,8396,36,0,0,0,59,56,94.91525,14,11,78.57143,34,34,100.0,33,97.05882,1,30,2
1705,SPOON-155,spoon.support.compiler.jdt.JDTSnippetCompiler,3,326,30337,161909,28,0,2,0,25,25,100.0,8,7,87.5,0,0,0.0,0,0.0,0,30,2
1706,FASTJSON-93,com.alibaba.fastjson.asm.ByteVector,3,306,30856,1838,42,0,0,0,73,0,0.0,24,0,0.0,73,0,0.0,0,0.0,73,30,2
1707,GUAVA-71,com.google.common.collect.SparseImmutableTable,4,301,30775,7943,1,0,0,0,63,22,34.920635,14,5,35.714287,16,7,43.75,7,43.75,9,30,2
1708,SPOON-163,spoon.pattern.internal.node.MapEntryNode,2,325,32785,10204,34,0,0,0,38,30,78.94737,20,12,60.000004,6,0,0.0,0,0.0,6,30,2
1709,SEATA-12,io.seata.core.rpc.netty.ShutdownHook,9,301,28677,26671,10,0,2,0,25,24,96.0,8,6,75.0,7,7,100.0,7,100.0,0,30,2
1710,FASTJSON-79,com.alibaba.fastjson.parser.ParserConfig,2,301,35579,45249,199,0,61,0,518,411,79.34363,410,276,67.31708,20,0,0.0,0,0.0,20,30,2
1711,SPOON-157,spoon.support.DefaultCoreFactory,1,318,31284,12651,151,0,0,0,429,178,41.491844,160,82,51.25,161,0,0.0,0,0.0,161,30,2
1712,FASTJSON-85,com.alibaba.fastjson.serializer.CharArrayCodec,10,308,31142,16161,6,0,0,0,35,3,8.571429,20,0,0.0,20,1,5.0,1,5.0,19,30,2
1713,SEATA-25,io.seata.core.rpc.netty.NettyPoolableFactory,10,325,29265,50857,31,0,0,0,60,27,45.0,36,17,47.22222,30,17,56.666668,17,56.666668,13,30,2
1714,GUAVA-197,com.google.common.primitives.Booleans,6,290,29400,6692,85,0,0,0,75,75,100.0,52,52,100.0,92,92,100.0,92,100.0,0,30,2
1715,SPOON-157,spoon.support.DefaultCoreFactory,7,312,31583,14333,151,0,0,0,429,177,41.25874,160,83,51.875,167,6,3.5928144,6,3.5928144,161,30,2
1716,SPOON-169,spoon.support.reflect.code.CtStatementListImpl,3,309,54105,23,8,1,0,0,80,0,0.0,36,0,0.0,50,0,0.0,0,0.0,50,30,2
1717,FASTJSON-26,com.alibaba.fastjson.parser.deserializer.MapDeserializer,7,315,32061,17259,14,0,0,0,198,18,9.090909,126,13,10.31746,138,16,11.594203,16,11.594203,122,30,2
1718,GUAVA-115,com.google.common.util.concurrent.SimpleTimeLimiter,9,304,33860,17923,17,0,2,0,110,36,32.727272,26,2,7.692308,41,10,24.390244,10,24.390244,31,30,2
1719,FASTJSON-104,com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter,8,293,34470,27332,61,0,3,0,82,76,92.68293,20,16,80.0,4,0,0.0,0,0.0,4,30,2
1720,SPOON-167,spoon.support.reflect.CtExtendedModifier,2,318,28845,1950,26,0,0,0,26,26,100.0,16,16,100.0,18,18,100.0,18,100.0,0,30,2
1721,SEATA-4,io.seata.core.protocol.MessageFuture,10,302,31618,672,14,0,0,0,22,0,0.0,10,0,0.0,13,0,0.0,0,0.0,13,30,2
1722,FASTJSON-85,com.alibaba.fastjson.serializer.CharArrayCodec,1,318,31384,15752,5,0,0,0,35,3,8.571429,20,0,0.0,20,1,5.0,1,5.0,19,30,2
1723,GUAVA-45,com.google.common.primitives.Shorts,9,286,29374,3508,111,0,0,0,103,102,99.02912,68,67,98.52941,133,133,100.0,133,100.0,0,30,2
1724,SPOON-13,spoon.support.reflect.code.CtForImpl,3,297,47084,214889,7,0,0,0,58,41,70.68965,26,13,50.0,13,0,0.0,0,0.0,13,30,2
1725,FASTJSON-9,com.alibaba.fastjson.parser.deserializer.JavaObjectDeserializer,9,352,31110,15757,5,0,1,0,19,6,31.578945,18,2,11.111112,15,9,60.000004,9,60.000004,6,30,2
1726,SPOON-157,spoon.support.DefaultCoreFactory,2,323,31695,13218,154,0,0,0,429,174,40.55944,160,81,50.625004,163,0,0.0,0,0.0,163,30,2
1727,FASTJSON-64,com.alibaba.fastjson.serializer.JSONSerializer,10,300,33809,34605,131,0,48,0,185,146,78.918915,108,70,64.81481,24,0,0.0,0,0.0,24,30,2
1728,FASTJSON-93,com.alibaba.fastjson.asm.ByteVector,10,342,30694,1937,48,0,0,0,73,0,0.0,24,0,0.0,73,0,0.0,0,0.0,73,30,2
1729,FASTJSON-104,com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter,6,306,32890,34353,59,0,6,0,82,75,91.46342,20,17,85.0,4,0,0.0,0,0.0,4,30,2
1730,SEATA-14,io.seata.core.protocol.transaction.BranchRegisterRequest,5,292,29504,9181,47,0,0,0,95,94,98.94737,32,31,96.875,42,41,97.61904,41,97.61904,1,30,2
1731,FASTJSON-31,com.alibaba.fastjson.serializer.ASMSerializerFactory,5,290,37920,17784,43,0,0,0,1364,134,9.824047,398,14,3.517588,404,27,6.6831684,27,6.6831684,377,30,2
1732,SEATA-14,io.seata.core.protocol.transaction.BranchRegisterRequest,4,294,29647,9565,49,0,2,0,95,95,100.0,32,32,100.0,42,42,100.0,42,100.0,0,30,2
1733,SEATA-19,io.seata.core.protocol.RegisterRMRequest,5,299,29434,9181,36,0,0,0,62,62,100.0,26,26,100.0,46,46,100.0,46,100.0,0,30,2
1734,SPOON-159,spoon.reflect.visitor.ModelConsistencyChecker,7,292,29718,13667,18,0,1,0,26,26,100.0,22,21,95.454544,16,16,100.0,16,100.0,0,30,2
1735,GUAVA-85,com.google.common.base.CaseFormat,1,321,34172,2236,34,0,1,0,30,30,100.0,12,12,100.0,15,15,100.0,15,100.0,0,30,2
1736,GUAVA-260,com.google.common.collect.TreeRangeMap,6,293,39395,8036,13,0,0,0,86,45,52.325584,36,11,30.555555,23,0,0.0,0,0.0,23,30,2
1737,FASTJSON-9,com.alibaba.fastjson.parser.deserializer.JavaObjectDeserializer,4,299,30861,16436,4,0,0,0,19,6,31.578945,18,2,11.111112,15,9,60.000004,9,60.000004,6,30,2
1738,SEATA-16,io.seata.core.store.StoreMode,1,297,28377,664,6,0,0,0,7,0,0.0,4,0,0.0,5,0,0.0,0,0.0,5,30,2
1739,SPOON-169,spoon.support.reflect.code.CtStatementListImpl,7,302,31077,217472,22,0,0,0,80,41,51.25,36,12,33.333336,17,0,0.0,0,0.0,17,30,2
1740,GUAVA-78,com.google.common.collect.Queues,8,303,30852,5121,34,0,0,0,75,53,70.666664,26,21,80.769226,56,46,82.14286,46,82.14286,10,30,2
1741,FASTJSON-85,com.alibaba.fastjson.serializer.CharArrayCodec,3,333,31710,16495,6,0,0,0,35,3,8.571429,20,0,0.0,20,1,5.0,1,5.0,19,30,2
1742,SPOON-155,spoon.support.compiler.jdt.JDTSnippetCompiler,10,303,30197,162041,28,0,1,0,25,25,100.0,8,7,87.5,0,0,0.0,0,0.0,0,30,2
1743,GUAVA-249,com.google.common.io.FileBackedOutputStream,7,305,29914,3186,33,0,0,0,50,48,96.0,16,14,87.5,30,29,96.666664,29,96.666664,1,30,2
1744,GUAVA-21,com.google.common.base.internal.Finalizer,6,316,61008,14,0,0,0,0,65,0,0.0,20,0,0.0,0,0,0.0,0,0.0,0,30,0
1745,SEATA-15,io.seata.core.rpc.netty.RpcServer,5,297,33988,30394,1,0,0,0,102,1,0.9803922,44,0,0.0,42,0,0.0,0,0.0,42,30,2
1746,FASTJSON-25,com.alibaba.fastjson.parser.deserializer.ResolveFieldDeserializer,5,294,31741,24872,21,0,0,0,43,37,86.04651,12,8,66.66667,4,0,0.0,0,0.0,4,30,2
1747,SPOON-19,spoon.reflect.visitor.filter.LineFilter,2,308,28973,8694,2,0,0,0,22,10,45.454548,16,5,31.25,16,6,37.5,6,37.5,10,30,2
1748,SPOON-157,spoon.support.DefaultCoreFactory,6,323,31469,12247,143,0,0,0,429,175,40.79254,160,82,51.25,167,6,3.5928144,6,3.5928144,161,30,2
1749,FASTJSON-72,com.alibaba.fastjson.serializer.AwtCodec,10,305,31666,18758,32,0,0,0,192,38,19.791668,106,16,15.094339,113,23,20.353981,23,20.353981,90,30,2
1750,GUAVA-260,com.google.common.collect.TreeRangeMap,5,304,31239,7871,30,0,2,0,86,59,68.60465,36,16,44.444447,17,0,0.0,0,0.0,17,30,2
1751,SPOON-9,spoon.support.reflect.cu.position.SourcePositionImpl,5,288,29664,9059,95,0,9,0,78,76,97.4359,56,51,91.07143,93,91,97.849464,91,97.849464,2,30,2
1752,SPOON-13,spoon.support.reflect.code.CtForImpl,9,297,61012,209927,12,0,0,0,58,54,93.10345,26,20,76.92308,4,0,0.0,0,0.0,4,30,2
1753,SEATA-26,io.seata.core.rpc.netty.TmRpcClient,2,303,10257,23502,1,0,0,0,162,1,0.61728394,62,0,0.0,64,0,0.0,0,0.0,64,30,2
1754,GUAVA-71,com.google.common.collect.SparseImmutableTable,9,288,29223,6653,1,0,0,0,63,22,34.920635,14,5,35.714287,16,7,43.75,7,43.75,9,30,2
1755,FASTJSON-25,com.alibaba.fastjson.parser.deserializer.ResolveFieldDeserializer,7,304,32325,23593,20,0,0,0,43,37,86.04651,12,7,58.333332,8,4,50.0,4,50.0,4,30,2
1756,GUAVA-197,com.google.common.primitives.Booleans,7,306,29193,5937,77,0,0,0,75,75,100.0,52,52,100.0,92,92,100.0,92,100.0,0,30,2
1757,FASTJSON-17,com.alibaba.fastjson.serializer.ClobSeriliazer,6,299,30389,15008,5,0,0,0,24,5,20.833332,4,2,50.0,6,2,33.333336,2,33.333336,4,30,2
1758,FASTJSON-25,com.alibaba.fastjson.parser.deserializer.ResolveFieldDeserializer,10,303,31785,24677,16,0,0,0,43,37,86.04651,12,7,58.333332,8,4,50.0,4,50.0,4,30,2
1759,GUAVA-6,com.google.common.base.Throwables,8,333,28251,12,0,0,0,0,92,0,0.0,38,0,0.0,0,0,0.0,0,0.0,0,30,0
1760,SPOON-169,spoon.support.reflect.code.CtStatementListImpl,5,291,42520,213139,9,0,0,0,80,23,28.75,36,7,19.444445,32,0,0.0,0,0.0,32,30,2
1761,SEATA-19,io.seata.core.protocol.RegisterRMRequest,6,305,29346,8727,30,0,0,0,62,62,100.0,26,26,100.0,46,46,100.0,46,100.0,0,30,2
1762,SPOON-159,spoon.reflect.visitor.ModelConsistencyChecker,4,314,29655,13048,23,0,1,0,26,26,100.0,22,20,90.909096,0,0,0.0,0,0.0,0,30,2
1763,SEATA-32,io.seata.core.protocol.transaction.GlobalBeginResponse,3,294,29233,8261,30,0,0,0,36,36,100.0,12,12,100.0,17,17,100.0,17,100.0,0,30,2
1764,SPOON-163,spoon.pattern.internal.node.MapEntryNode,7,297,33868,9957,32,0,2,0,38,30,78.94737,20,14,70.0,6,0,0.0,0,0.0,6,30,2
1765,GUAVA-110,com.google.common.math.IntMath,8,300,29564,877,240,0,0,0,180,0,0.0,164,0,0.0,126,0,0.0,0,0.0,126,30,2
1766,SEATA-32,io.seata.core.protocol.transaction.GlobalBeginResponse,2,290,29156,8259,31,0,0,0,36,36,100.0,12,12,100.0,17,17,100.0,17,100.0,0,30,2
1767,SPOON-163,spoon.pattern.internal.node.MapEntryNode,9,300,30277,9227,27,0,0,0,38,30,78.94737,20,12,60.000004,6,0,0.0,0,0.0,6,30,2
1768,SEATA-12,io.seata.core.rpc.netty.ShutdownHook,8,324,28790,26483,8,0,1,0,25,25,100.0,8,7,87.5,7,7,100.0,7,100.0,0,30,2
1769,SPOON-165,spoon.reflect.visitor.AstParentConsistencyChecker,2,310,29671,10532,10,0,0,0,15,15,100.0,8,7,87.5,6,6,100.0,6,100.0,0,30,2
1770,SEATA-6,io.seata.core.rpc.RpcContext,9,299,29284,9431,62,0,2,0,85,75,88.2353,32,27,84.375,30,29,96.666664,29,96.666664,1,30,2
1771,SPOON-103,spoon.support.reflect.code.CtAssignmentImpl,9,288,42537,22,1,1,0,0,45,0,0.0,18,0,0.0,29,0,0.0,0,0.0,29,30,2
1772,FASTJSON-105,com.alibaba.fastjson.JSONReader,7,304,36207,23503,124,0,5,0,157,146,92.99363,63,51,80.952385,75,68,90.66667,68,90.66667,7,30,2
1773,SPOON-9,spoon.support.reflect.cu.position.SourcePositionImpl,10,293,29826,9237,104,0,11,0,78,76,97.4359,56,52,92.85714,93,91,97.849464,91,97.849464,2,30,2
1774,GUAVA-260,com.google.common.collect.TreeRangeMap,4,307,36266,7533,14,0,1,0,86,48,55.813957,36,14,38.88889,21,0,0.0,0,0.0,21,30,2
1775,SPOON-107,spoon.reflect.visitor.filter.CompositeFilter,8,311,35010,9200,16,0,0,0,26,16,61.538464,20,11,55.0,11,0,0.0,0,0.0,11,30,2
